new_cluster,,,,,,,,,,,,,,,,,,,,
ip1,15.142.244.157:0.8396620750427246,15.142.244.157:0.17438125610351562,15.142.244.157:0.18703484535217285,15.142.244.157:0.18337631225585938,15.142.244.157:0.18326425552368164,15.142.244.157:0.17973756790161133,15.142.244.157:0.17354464530944824,15.142.244.157:0.18464994430541992,15.142.244.157:0.17251086235046387,15.142.244.157:0.17771124839782715,15.142.244.157:0.17507004737854004,15.142.244.157:0.1833798885345459,15.142.244.157:0.18183112144470215,15.142.244.157:0.18585467338562012,15.142.244.157:0.17719388008117676,15.142.244.157:0.1796870231628418,15.142.244.157:0.17221760749816895,15.142.244.157:0.17640423774719238,15.142.244.157:0.1840837001800537,15.142.244.157:0.17063331604003906
ip2,15.142.244.157:0.8258252143859863,15.142.247.223:0.1797502040863037,15.142.247.223:0.17477035522460938,15.142.247.223:0.18399739265441895,15.142.247.223:0.1735546588897705,15.142.247.223:0.17863917350769043,15.142.247.223:0.17594099044799805,15.142.247.223:0.19107961654663086,15.142.247.223:0.1759946346282959,15.142.247.223:0.1754162311553955,15.142.247.223:0.18431711196899414,15.142.247.223:0.18082308769226074,15.142.247.223:0.17952823638916016,15.142.247.223:0.17266440391540527,15.142.247.223:0.18582677841186523,15.142.247.223:0.17568373680114746,15.142.247.223:0.1766676902770996,15.142.247.223:0.190354585647583,15.142.247.223:0.17780804634094238,15.142.247.223:0.17504644393920898
ip3,15.142.244.157:0.8397166728973389,15.142.244.157:0.17823529243469238,15.142.244.157:0.17270803451538086,15.142.244.157:0.18026971817016602,15.142.244.157:0.18067145347595215,15.142.244.157:0.1847214698791504,15.142.244.157:0.1865081787109375,15.142.244.157:0.17520356178283691,15.142.244.157:0.17074918746948242,15.142.244.157:0.1871497631072998,15.142.244.157:0.17461872100830078,15.142.244.157:0.18042635917663574,15.142.244.157:0.1777024269104004,15.142.244.157:0.1769261360168457,15.142.244.157:0.17978572845458984,15.142.244.157:0.189896821975708,15.142.244.157:0.18821406364440918,15.142.244.157:0.17914676666259766,15.142.244.157:0.20677995681762695,15.142.244.157:0.1703662872314453
ip4,15.142.247.223:1.013024091720581,15.142.247.223:0.1759638786315918,15.142.247.223:0.17458200454711914,15.142.247.223:0.176513671875,15.142.247.223:0.18127083778381348,15.142.247.223:0.18270182609558105,15.142.247.223:0.17868423461914062,15.142.247.223:0.16946196556091309,15.142.247.223:0.1778697967529297,15.142.247.223:0.18526387214660645,15.142.247.223:0.17685413360595703,15.142.247.223:0.17748641967773438,15.142.247.223:0.17015361785888672,15.142.247.223:0.17410993576049805,15.142.247.223:0.18132257461547852,15.142.247.223:0.17583751678466797,15.142.247.223:0.17018365859985352,15.142.247.223:0.1794281005859375,15.142.247.223:0.1745142936706543,15.142.247.223:0.18015527725219727
ip5,15.142.247.223:1.0187904834747314,15.142.247.223:0.18137788772583008,15.142.247.223:0.17474865913391113,15.142.247.223:0.18144559860229492,15.142.247.223:0.17408275604248047,15.142.247.223:0.18084454536437988,15.142.247.223:0.1872391700744629,15.142.247.223:0.18169546127319336,15.142.247.223:0.17908453941345215,15.142.247.223:0.17502546310424805,15.142.247.223:0.17877697944641113,15.142.247.223:0.18502116203308105,15.142.247.223:0.1753377914428711,15.142.247.223:0.1778864860534668,15.142.247.223:0.17638134956359863,15.142.247.223:0.18149614334106445,15.142.247.223:0.17850208282470703,15.142.247.223:0.17463088035583496,15.142.247.223:0.17396235466003418,15.142.247.223:0.1756608486175537
ip6,15.142.247.223:1.0252513885498047,15.142.247.223:0.17641544342041016,15.142.247.223:0.17324590682983398,15.142.247.223:0.1957075595855713,15.142.247.223:0.177201509475708,15.142.247.223:0.1720266342163086,15.142.247.223:0.17718195915222168,15.142.247.223:0.17858457565307617,15.142.247.223:0.1775813102722168,15.142.247.223:0.17371439933776855,15.142.247.223:0.1748664379119873,15.142.247.223:0.18901848793029785,15.142.247.223:0.1842973232269287,15.142.247.223:0.18563199043273926,15.142.247.223:0.1787862777709961,15.142.247.223:0.17515182495117188,15.142.247.223:0.17193937301635742,15.142.247.223:0.18001675605773926,15.142.247.223:0.1783616542816162,15.142.247.223:0.1772778034210205
ip7,15.142.247.223:1.0150189399719238,15.142.247.223:0.17836284637451172,15.142.247.223:0.18371868133544922,15.142.247.223:0.18684887886047363,15.142.247.223:0.18163466453552246,15.142.247.223:0.17381978034973145,15.142.247.223:0.17897796630859375,15.142.247.223:0.17321348190307617,15.142.247.223:0.17783880233764648,15.142.247.223:0.18212199211120605,15.142.247.223:0.1820392608642578,15.142.247.223:0.1781456470489502,15.142.247.223:0.17624902725219727,15.142.247.223:0.18671417236328125,15.142.247.223:0.1798689365386963,15.142.247.223:0.17575740814208984,15.142.247.223:0.18195247650146484,15.142.247.223:0.1820366382598877,15.142.247.223:0.17780542373657227,15.142.247.223:0.17746758460998535
ip8,15.142.247.223:1.0405693054199219,15.142.247.223:0.18717193603515625,15.142.247.223:0.18162274360656738,15.142.247.223:0.18242621421813965,15.142.247.223:0.18474435806274414,15.142.247.223:0.18030714988708496,15.142.247.223:0.1711127758026123,15.142.247.223:0.1769402027130127,15.142.247.223:0.18271732330322266,15.142.247.223:0.17824077606201172,15.142.247.223:0.18149924278259277,15.142.247.223:0.17899847030639648,15.142.247.223:0.18213105201721191,15.142.247.223:0.17877554893493652,15.142.247.223:0.18027901649475098,15.142.247.223:0.17990636825561523,15.142.247.223:0.17804384231567383,15.142.247.223:0.1737959384918213,15.142.247.223:0.18100380897521973,15.142.247.223:0.17101573944091797
ip9,15.142.247.223:1.0302693843841553,15.142.247.223:0.1747579574584961,15.142.247.223:0.18464255332946777,15.142.247.223:0.18731236457824707,15.142.247.223:0.18215703964233398,15.142.247.223:0.17209815979003906,15.142.247.223:0.1801586151123047,15.142.247.223:0.18462133407592773,15.142.247.223:0.17348265647888184,15.142.247.223:0.17917966842651367,15.142.247.223:0.16936540603637695,15.142.247.223:0.18274474143981934,15.142.247.223:0.17796683311462402,15.142.247.223:0.1972026824951172,15.142.247.223:0.17835688591003418,15.142.247.223:0.17689895629882812,15.142.247.223:0.18073797225952148,15.142.247.223:0.1869826316833496,15.142.247.223:0.1746525764465332,15.142.247.223:0.17518115043640137
ip10,15.142.247.223:1.040325403213501,15.142.247.223:0.18332481384277344,15.142.247.223:0.1743450164794922,15.142.247.223:0.1872546672821045,15.142.247.223:0.17301368713378906,15.142.247.223:0.18005967140197754,15.142.247.223:0.17903590202331543,15.142.247.223:0.17198610305786133,15.142.247.223:0.1720750331878662,15.142.247.223:0.17795252799987793,15.142.247.223:0.18098759651184082,15.142.247.223:0.18482017517089844,15.142.247.223:0.17393708229064941,15.142.247.223:0.18065667152404785,15.142.247.223:0.1915581226348877,15.142.247.223:0.18810224533081055,15.142.247.223:0.18181133270263672,15.142.247.223:0.18062591552734375,15.142.247.223:0.17963671684265137,15.142.247.223:0.1787712574005127
ip11,15.142.244.157:0.8503694534301758,15.142.247.223:0.19151806831359863,15.142.247.223:0.19516849517822266,15.142.247.223:0.18980050086975098,15.142.247.223:0.18650507926940918,15.142.247.223:0.19343996047973633,15.142.247.223:0.1902296543121338,15.142.247.223:0.19910311698913574,15.142.247.223:0.1853809356689453,15.142.247.223:0.1893618106842041,15.142.247.223:0.1937568187713623,15.142.247.223:0.20206141471862793,15.142.247.223:0.19959449768066406,15.142.247.223:0.1931161880493164,15.142.247.223:0.19979023933410645,15.142.247.223:0.19045543670654297,15.142.247.223:0.18402838706970215,15.142.247.223:0.18697094917297363,15.142.247.223:0.19954633712768555,15.142.247.223:0.19086956977844238
