Cluster_size,new_trigger,type1,type2
17969,257,1372,16340
15438,181,514,14743
14505,622,937,12946
13897,694,1091,12112
10050,28,3574,6448
8703,247,1317,7139
8703,479,1551,6673
7659,187,919,6553
7347,13,273,7061
6963,13,666,6284
6706,212,581,5913
6677,66,299,6312
6637,21,2502,4114
6085,35,2904,3146
5702,19,1550,4133
5054,24,2615,2415
4629,390,336,3903
4582,17,278,4287
4223,43,181,3999
4222,17,2021,2184
4133,67,3807,259
4120,37,1622,2461
3927,237,354,3336
3926,79,901,2946
3914,13,1567,2334
3862,28,87,3747
3854,161,292,3401
3823,147,300,3376
3786,21,1488,2277
3516,130,736,2650
3447,12,694,2741
3336,64,1593,1679
3203,216,327,2660
3086,104,175,2807
3083,39,687,2357
3077,107,407,2563
2963,62,2254,647
2925,39,1305,1581
2896,259,279,2358
2844,14,1073,1757
2815,28,1258,1529
2764,129,168,2467
2755,233,243,2279
2672,20,138,2514
2648,10,73,2565
2628,55,302,2271
2627,102,184,2341
2574,14,281,2279
2566,89,508,1969
2522,55,457,2010
2510,13,34,2463
2473,29,48,2396
2471,40,652,1779
2471,9,30,2432
2441,97,146,2198
2421,152,263,2006
2405,104,352,1949
2403,20,45,2338
2373,18,65,2290
2373,29,730,1614
2321,4,21,2296
2258,8,31,2219
2200,17,70,2113
2195,132,189,1874
2181,173,225,1783
2163,21,106,2036
2142,27,756,1359
2136,25,572,1539
2105,93,201,1811
2083,44,136,1903
2038,14,279,1745
2024,18,822,1184
2011,83,387,1541
1966,10,168,1788
1957,16,193,1748
1924,3,27,1894
1921,70,1766,85
1871,37,93,1741
1870,91,140,1639
1836,11,617,1208
1784,20,101,1663
1774,114,377,1283
1771,55,204,1512
1751,3,35,1713
1745,1,247,1497
1714,80,114,1520
1713,11,59,1643
1668,85,170,1413
1654,91,160,1403
1650,132,206,1312
1643,75,1294,274
1637,17,100,1520
1635,102,117,1416
1633,66,132,1435
1623,94,459,1070
1606,130,204,1272
1590,138,271,1181
1584,2,129,1453
1580,8,675,897
1551,15,253,1283
1547,139,174,1234
1532,21,323,1188
1494,24,677,793
1458,63,253,1142
1447,12,603,832
1447,11,96,1340
1436,9,540,887
1434,2,118,1314
1425,3,15,1407
1402,195,245,962
1402,88,250,1064
1398,70,1198,130
1394,1,136,1257
1370,38,292,1040
1357,117,92,1148
1347,124,116,1107
1327,18,354,955
1316,46,145,1125
1308,1,83,1224
1272,23,110,1139
1268,61,420,787
1260,133,104,1023
1259,4,61,1194
1258,71,381,806
1253,30,369,854
1232,7,128,1097
1222,207,180,835
1211,39,402,770
1199,2,343,854
1196,6,394,796
1194,174,378,642
1194,16,115,1063
1191,78,274,839
1179,64,990,125
