Cluster tag,size
0.215.220.27,23929
0.234.138.35,19569
0.85.178.222,15981
0.85.234.196,15594
0.88.177.253,15318
0.85.192.166,11106
0.85.206.105,10479
0.85.190.80,9405
0.85.197.130,8325
0.85.194.27,8251
0.85.185.183,8054
0.217.149.201,7622
0.85.191.141,7577
0.85.191.228,7384
0.85.193.86,7347
0.85.174.217,7294
0.85.187.252,7140
0.217.143.43,6623
0.85.210.205,6152
0.85.188.220,5881
0.86.44.161,5874
0.85.187.77,5786
0.86.50.195,4910
0.85.187.239,4812
0.85.207.28,4550
0.85.187.52,4534
0.231.178.103,4515
0.89.164.241,4326
0.86.165.192,4325
0.85.186.35,4321
0.85.192.133,4249
0.85.179.48,4144
0.85.186.28,4120
0.85.200.190,4066
0.91.211.102,3949
1.57.30.36,3910
0.85.190.9,3835
0.215.217.245,3625
0.217.136.8,3585
0.85.201.67,3498
0.86.21.40,3446
0.217.135.78,3388
0.85.214.40,3378
0.86.5.129,3343
0.85.192.248,3251
0.85.220.153,3225
1.48.209.177,3193
0.85.199.254,3152
0.85.188.130,3113
0.85.198.26,3083
0.109.193.9,2981
0.85.225.40,2968
0.216.153.225,2934
0.216.148.99,2890
0.96.99.60,2847
0.219.141.187,2824
0.215.66.48,2823
0.85.181.253,2774
0.85.199.220,2757
0.85.211.34,2747
0.95.35.234,2724
0.85.206.178,2695
0.157.137.50,2690
0.85.201.235,2688
0.85.191.182,2682
0.217.134.110,2652
0.86.15.232,2630
0.86.35.79,2626
0.85.204.242,2600
0.85.199.103,2534
0.85.185.122,2528
0.85.188.6,2501
0.217.142.3,2496
0.85.200.76,2487
0.217.135.3,2476
0.100.195.200,2469
0.215.50.235,2467
0.86.2.92,2466
0.85.189.43,2451
0.85.182.252,2437
0.85.222.8,2403
0.85.205.45,2365
0.214.81.22,2332
0.97.152.100,2308
0.97.27.125,2289
0.216.81.65,2276
0.85.197.148,2273
0.93.161.106,2236
0.85.236.186,2211
0.85.189.7,2199
0.85.245.44,2198
0.85.215.143,2176
0.124.192.192,2166
0.85.243.76,2125
0.214.247.89,2107
0.215.26.195,2076
0.215.252.242,2047
0.85.190.110,2007
0.85.172.76,1982
0.88.87.234,1982
0.101.11.219,1951
0.85.247.254,1946
0.214.138.238,1933
0.86.212.164,1910
0.85.222.167,1898
0.85.197.173,1884
0.220.109.18,1865
0.85.189.162,1812
0.85.238.191,1806
0.85.220.34,1797
0.86.123.165,1795
0.85.241.82,1791
0.97.24.135,1786
0.85.192.221,1778
0.86.21.88,1772
0.85.189.247,1771
0.214.81.58,1760
0.92.68.20,1751
0.85.191.77,1742
0.85.231.28,1727
0.85.190.107,1718
0.85.187.206,1701
0.86.232.127,1685
0.85.196.171,1675
0.85.210.228,1668
0.85.228.106,1663
0.85.216.158,1647
0.85.208.143,1623
0.85.204.240,1612
0.220.203.9,1602
0.87.104.163,1601
0.85.214.231,1584
0.85.197.144,1576
0.197.105.33,1564
0.85.188.142,1551
0.85.194.196,1550
0.85.195.6,1529
0.85.199.16,1509
0.85.189.42,1471
0.214.190.143,1462
0.172.11.97,1461
127.0.0.1,1453
0.214.138.239,1432
0.86.17.246,1428
0.85.190.199,1418
0.85.204.51,1411
0.97.222.101,1398
0.85.205.192,1391
0.85.223.237,1383
0.85.216.243,1368
0.85.228.180,1356
0.85.207.59,1348
0.85.209.140,1347
0.85.191.67,1337
0.87.125.254,1329
0.85.182.23,1319
0.217.135.59,1318
0.217.135.255,1315
188.210.221.221,1308
0.217.135.15,1306
0.85.189.86,1299
0.85.226.38,1295
0.85.221.200,1274
0.85.207.126,1266
0.158.115.2,1266
0.215.5.71,1239
0.215.53.80,1236
0.217.133.94,1231
0.214.77.70,1229
0.214.202.109,1228
0.87.172.215,1227
0.85.231.122,1220
0.105.133.192,1213
0.85.198.145,1206
0.144.174.116,1202
0.85.191.74,1193
0.86.85.63,1188
0.214.232.133,1172
0.85.189.118,1149
1.34.253.109,1144
0.85.224.77,1138
0.91.243.100,1136
0.85.185.76,1134
0.98.180.106,1125
0.214.183.92,1116
1.35.125.205,1109
0.231.180.207,1107
0.86.74.104,1100
0.85.212.172,1096
0.85.189.53,1096
0.85.231.157,1077
185.236.106.200,1069
0.217.40.193,1065
0.214.221.236,1061
0.85.190.95,1057
1.11.130.2,1055
0.217.42.73,1041
0.107.115.14,1040
0.86.102.129,1035
0.215.212.37,1032
0.86.73.199,1028
0.90.133.35,1025
0.85.213.80,1019
0.113.169.202,1013
0.85.202.12,1012
0.99.8.197,1012
0.85.182.243,1001
0.86.122.13,994
0.87.88.168,993
0.85.190.88,988
0.85.241.160,988
0.85.235.80,983
1.29.210.91,976
0.106.152.133,974
0.214.104.58,972
0.85.190.143,959
10.0.0.1,954
0.85.194.214,952
0.215.239.225,946
0.86.6.19,943
0.87.102.170,942
0.85.197.76,938
0.85.194.237,937
0.217.67.64,933
