country, number of clusters, open DNS servers (all), open DNS servers (success response), # in size=1, # in size 1-10, # in size 10-100, # in size100-1000, # in size > 1000
CN,3841,337561,183901,1409,4001,19744,127193,31554
US,16026,276714,151824,7750,21473,73196,47766,1639
KR,4555,75505,64411,3825,796,2960,55511,1319
BD,341,62014,52173,180,230,885,43294,7584
RU,4294,74708,48286,2131,5558,17699,19019,3879
ID,2999,57195,45501,1492,3470,7945,26137,6457
IN,2593,113657,45023,1850,1740,3686,33516,4231
BR,2562,44125,30565,1471,3083,3899,20099,2013
JP,2793,28111,17909,1586,2015,4497,8765,1046
PL,1146,20831,15659,701,1193,2474,10286,1005
UA,1183,18418,14967,569,1676,4303,5393,3026
ZA,519,18965,14606,299,532,1887,10159,1729
DE,3343,25571,13748,2544,1731,3384,5308,781
IT,1567,58376,12449,1141,1123,2851,5919,1415
FR,3595,17028,11849,2792,2199,3003,3452,403
CO,292,12457,10930,172,202,1964,7595,997
CA,1756,17453,10853,1105,1719,1884,5856,289
MX,869,18870,9421,573,686,2508,5566,88
VN,1027,18486,9148,673,1139,1557,5300,479
AR,629,13155,8906,373,662,1412,5478,981
AU,883,13697,8815,462,920,3942,3447,44
IR,1755,22053,8791,1580,429,1110,5323,349
PK,267,50630,8600,160,284,766,7332,58
ES,624,12901,8262,381,488,1223,5112,1058
PH,354,12155,7823,158,607,1368,5161,529
TR,1187,15489,7713,860,819,1843,3150,1041
GB,2037,13643,7243,1323,1528,1702,1471,1219
TH,1074,12728,6996,875,443,1502,3049,1127
NL,1042,9948,5898,736,743,1112,3054,253
TW,2650,21274,5702,1270,2200,721,1300,211
MY,315,8567,5272,204,298,415,3718,637
CL,394,6326,5080,304,199,237,4152,188
RO,352,6071,4772,185,334,903,2483,867
SG,873,8805,4532,612,519,827,2064,510
SE,691,6764,4331,490,358,1312,2163,8
PE,158,4727,3807,88,239,421,2946,113
EC,135,4244,3687,53,269,456,2744,165
CZ,493,4623,3181,315,479,633,509,1245
BG,455,4750,3126,212,799,700,842,573
HU,307,5203,2782,162,283,1322,342,673
VE,115,5010,2401,53,127,599,877,745
DO,56,2527,2379,18,63,416,1130,752
KZ,248,3325,2333,148,239,851,957,138
RS,160,2590,2184,83,213,522,571,795
CH,593,4482,2085,419,537,782,244,103
GR,226,3651,2069,87,284,1044,379,275
BE,292,3394,2063,195,159,783,862,64
IQ,97,3343,2015,47,131,573,996,268
FI,521,39221,1962,426,271,777,485,3
KE,82,2719,1850,47,107,440,969,287
PT,245,2892,1793,139,229,822,421,182
GE,63,2054,1769,33,47,299,1154,236
VG,73,1973,1689,2,31,1541,115,0
AT,354,2503,1544,227,322,601,205,189
KH,94,2267,1533,17,170,794,457,95
NO,255,2439,1477,172,289,421,591,4
NG,58,4163,1350,33,63,178,1057,19
-,14,2012,1275,9,14,2,1121,129
IL,204,2536,1251,110,236,500,301,104
DK,307,2065,1147,242,115,573,173,44
AM,65,1322,1134,25,118,303,567,121
YE,5,14860,1123,4,1,14,1101,3
LV,94,1598,1049,54,95,393,502,5
EG,119,3384,1048,79,106,471,361,31
SK,192,1692,1048,115,220,283,171,259
PY,70,1168,1019,35,106,353,491,34
BO,136,1184,1017,86,141,293,473,24
BY,113,1194,1009,67,112,482,303,45
UZ,81,1191,985,50,94,283,554,4
OM,18,1430,935,9,30,53,839,4
NZ,129,2088,909,64,164,500,178,3
LT,174,1282,874,111,129,469,134,31
GT,70,910,821,53,49,195,307,217
MD,79,3019,806,45,69,465,103,124
MN,43,869,800,27,54,26,686,7
HR,88,1886,783,50,127,401,100,105
KG,69,866,739,26,115,161,430,7
AE,112,3584,736,78,73,89,482,14
HN,47,837,735,26,71,203,273,162
AZ,63,818,707,43,56,197,233,178
CY,50,1742,689,22,59,193,386,29
MA,161,3368,688,51,265,269,102,1
SA,110,3037,688,75,80,192,339,2
IE,171,1629,684,121,148,131,77,207
CR,87,1018,674,56,82,144,198,194
NI,38,730,647,24,24,192,332,75
TN,71,3313,555,30,117,262,141,5
NP,92,1418,554,47,139,185,90,93
PA,30,716,543,19,39,82,313,90
AL,42,598,469,26,64,50,180,149
MO,32,544,449,22,11,292,122,2
SV,32,497,442,24,28,45,233,112
PR,34,542,416,15,55,103,117,126
LY,11,524,392,4,16,48,277,47
SI,94,714,389,50,120,140,29,50
AO,30,601,369,20,55,22,265,7
UG,24,453,339,12,24,92,211,0
MK,40,631,331,23,49,77,108,74
PS,27,594,322,15,23,83,191,10
BA,33,1267,308,20,25,176,22,65
SY,65,1010,304,19,68,20,191,6
AF,17,364,303,9,22,58,177,37
KW,80,2050,298,32,154,54,55,3
BW,26,338,289,9,65,100,110,5
NC,7,302,261,1,12,18,230,0
LB,61,472,255,40,51,85,74,5
TZ,34,352,254,18,76,68,81,11
UY,66,1492,240,31,110,4,87,8
DZ,43,3552,222,33,43,42,104,0
NA,17,279,221,9,14,99,99,0
TJ,24,273,212,10,42,115,43,2
IS,44,379,209,28,49,96,23,13
MM,33,461,206,18,41,8,104,35
LA,26,217,194,14,46,9,101,24
JO,46,1251,190,29,61,10,87,3
MT,12,226,186,3,48,36,71,28
GH,42,248,182,30,43,8,100,1
MZ,18,634,171,8,30,24,107,2
AD,1,193,163,0,2,71,89,1
QA,37,470,152,25,35,26,64,2
CM,17,243,148,7,27,48,58,8
ZW,16,270,146,9,12,69,55,1
CI,19,245,146,13,32,27,70,4
ZM,9,556,140,4,20,45,70,1
LU,52,901,139,35,42,28,31,3
TT,27,1443,137,8,46,61,9,13
ME,21,153,126,14,22,32,19,39
MG,7,434,119,1,5,100,12,1
CD,5,151,115,3,10,32,59,11
BH,33,148,115,25,25,17,46,2
EE,38,231,112,20,41,9,42,0
TG,12,124,109,7,12,70,20,0
MW,13,120,103,5,19,45,33,1
ET,19,148,94,12,23,16,41,2
RW,13,233,93,8,26,26,33,0
KY,4,144,86,2,4,78,1,1
BZ,5,626,85,2,12,1,60,10
JM,15,97,73,12,13,5,21,22
SN,22,140,70,15,23,1,29,2
SD,2,131,70,2,1,1,51,15
LK,35,126,69,29,9,4,24,3
CU,12,211,68,7,10,19,14,18
GN,11,72,64,7,18,29,9,1
BJ,9,100,62,4,13,16,29,0
CV,9,69,62,6,8,5,43,0
ML,12,261,58,6,20,18,14,0
BT,22,72,58,13,26,0,16,3
